1101:Refresh Official Sources	Discover Central Acts	2026-05-10T19:31:24.2501703Z 2026-05-10T19:31:24.249Z [discover-laws] info: Discovery status complete; live laws=845, seed fallback laws=4, output laws=845, errors=0
1126:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:31:36.4236381Z 2026-05-10T19:31:36.423Z [discover-regional-sources] warn: Regional source fetch failed for bn page 1: Request timed out for https://lddashboard.legislative.gov.in/bengali
1138:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:31:47.9429195Z 2026-05-10T19:31:47.942Z [discover-regional-sources] warn: Regional source fetch failed for kn page 1: Request timed out for https://lddashboard.legislative.gov.in/kannada
1150:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:31:59.9606227Z 2026-05-10T19:31:59.959Z [discover-regional-sources] warn: Regional source fetch failed for mr page 1: Request timed out for https://lddashboard.legislative.gov.in/marathi
1162:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:32:11.4786100Z 2026-05-10T19:32:11.477Z [discover-regional-sources] warn: Regional source fetch failed for ta page 1: Request timed out for https://lddashboard.legislative.gov.in/tamil
1174:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:32:23.0039132Z 2026-05-10T19:32:23.002Z [discover-regional-sources] warn: Regional source fetch failed for te page 1: Request timed out for https://lddashboard.legislative.gov.in/telugu
1175:Refresh Official Sources	Discover Regional Language Sources	2026-05-10T19:32:23.0041107Z 2026-05-10T19:32:23.002Z [discover-regional-sources] info: Deduplicated 0 parsed regional source row(s) to 0 unique source(s)
1258:Refresh Official Sources	Build Pages with resumable checkpoints	2026-05-10T19:32:23.0306745Z ^[[36;1m    echo "Refresh completed."^[[0m
17545:Refresh Official Sources	Build Pages with resumable checkpoints	2026-05-10T19:37:32.3801444Z Generated 845 law entries in docs
17583:Refresh Official Sources	Build Pages with resumable checkpoints	2026-05-10T19:37:33.1851572Z [main 40ca1e1] Laws sync
17595:Refresh Official Sources	Build Pages with resumable checkpoints	2026-05-10T19:37:34.4893540Z + echo 'Refresh completed.'
17597:Refresh Official Sources	Build Pages with resumable checkpoints	2026-05-10T19:37:34.4894245Z Refresh completed.
21421:Refresh Official Sources	Deploy to GitHub Pages	2026-05-10T19:37:52.7123466Z Reported success!
